Brand,Internal scripting support,Interoperable external software,API,Open source compatibility,Examples provided ,Licence free of charge
Acquifer IM,✓,✓,✓,Medium,[Prescreen - rescreen](https://github.com/Luxendo/Acquifer-Python-API/tree/master/examples/prescreen_rescreen),✓
Evident (formely Olympus),✓,✓,✓,Medium,✓,✕
Inscoper,✕,✓,✓,High,✓,✕
Leica,✓,✕,✕,Low,✕,✕
Viventis,✕,✓,✓,Medium,✓,✓
Luxendo,✕,✓,✕,Medium,✓,✓
Nikon,✓,✓,✕,Medium,✓,✕
openUC2,✓,✓,✓,High,✓,✓
Zeiss,✓,✓,✓,Medium,[OAD TCP-IP interface](https://github.com/zeiss-microscopy/OAD/tree/master/Interfaces/TCP-IP_interface),✕
PicoQuant MicroTime 200,✓,✓,✕,High (via  TCP/IP),✓ (not public),✕
RAPP OptoElectronic,✕,✓,✓,High,✕,✕
