Software,License,GUI / Coding,Compatible hardware,Repo,Publication
[Zeiss Zen OAD](https://github.com/zeiss-microscopy/OAD/tree/master),Commercial,API,Zeiss LM microscopes ,https://github.com/zeiss-microscopy/OAD/tree/master,  
Nikon NIS-Elements Jobs module / macro language,Commercial,GUI and API,Nikon microscopes, , 
Leica LAS-X,Commercial,GUI,Leica microscopes, , 
Inscoper,Commercial,GUI and API,[Devices supported by Inscoper](https://www.inscoper.com/supported-devices/), , 
[SymPhoTime64](https://www.picoquant.com/products/category/software/symphotime-64-fluorescence-lifetime-imaging-and-correlation-software),Commercial,API,PicoQuant MicroTime200,,
[Cytely](https://www.cytely.io/),Commercial,GUI,"Nikon: full support, other devices: partial support",,[link](https://doi.org/10.1016/j.crmeth.2023.100419)
Evident (formely Olympus) Macro to Micro,Commercial,GUI,Evident microscopes operated by cellSens,,
Evident (formely Olympus) RMTDK,Commercial,API,Evident Point scanning confocals,,
RAPP OptoElectronic - SysCon,Commercial,API,RAPP photomanipulation devices,,
[AutoMicTools package](https://git.embl.de/halavaty/AutoMicTools),Open source, GUI and API,"Several commercial microscope brands (e.g. Zeiss, Olympus/Evident, Nikon)","https://git.embl.de/halavaty/AutoMicTools
https://git.embl.de/grp-almf/zeiss_zenblue_automation/
https://git.embl.de/grp-almf/automictools-fluoview-bridge", 
[pymmcore-plus](https://pymmcore-plus.github.io/pymmcore-plus/),Open source,API,[μManager devices](https://micro-manager.org/Device_Support) & custom devices, , 
[pymmcore-gui](https://github.com/pymmcore-plus/pymmcore-gui),Open source,GUI,GUI for pymmcore-plus backend,https://github.com/pymmcore-plus/pymmcore-gui,
[pymmcore-widgets](https://github.com/pymmcore-plus/pymmcore-widgets),Open source,GUI,GUI for pymmcore-plus backend,https://github.com/pymmcore-plus/pymmcore-widgets,
[napari-micromanager](https://github.com/pymmcore-plus/napari-micromanager),Open source,GUI,GUI for pymmcore-plus backend,https://github.com/pymmcore-plus/napari-micromanager,
[pymmcore-eda](https://github.com/LEB-EPFL/pymmcore-eda),Open source,API,Dynamic acquisitions using pymmcore-plus backend,https://github.com/LEB-EPFL/pymmcore-eda,[link](https://doi.org/10.1101/2025.04.04.647219)
[rtm-pymmcore](https://github.com/pertzlab/rtm-pymmcore),Open source,API,Adaptive photomanipulation using pymmcore-plus backend,https://github.com/pertzlab/rtm-pymmcore,
[Navigate](https://github.com/TheDeanLab/navigate),Open source,GUI and API,[μManager devices and custom devices](https://thedeanlab.github.io/navigate/user_guide/hardware/hardware_home.html), ,[link](http://dx.doi.org/10.1038/s41592-024-02413-4)
[ImSwitch](https://imswitch.readthedocs.io/en/stable/),Open source,GUI and API,"[μManager devices](https://micro-manager.org/Device_Support), [wide range of devices via python](https://imswitch.readthedocs.io/en/stable/imcontrol-setups.html#available-managers), [openUC2](https://openuc2.com/)",https://github.com/openuc2/ImSwitch,[link](https://doi.org/10.21105/joss.03394)
[Pycro-Manager](https://pycro-manager.readthedocs.io/en/latest/),Open source,API,[μManager devices](https://micro-manager.org/Device_Support) & custom devices,https://github.com/micro-manager/pycro-manager,[link](https://doi.org/10.1038/s41592-021-01087-6)
[AutoPilot](https://microscopeautopilot.github.io),Open source, API,[Custom built](https://github.com/royerlab/opensimview/tree/zebrahub_publication),https://github.com/MicroscopeAutoPilot/autopilot,[link](https://doi.org/10.1038/nbt.3708)
[AutoScanJ](https://drive.google.com/file/d/1JdwWS2R9wiSySzWAMmta5yRB8Le9G4X2/view),Open source, API,Leica LAS AF/X and [μManager devices](https://micro-manager.org/Device_Support),,[link](https://doi.org/10.3389/fbinf.2021.627626)
[MicroMator](https://gitlab.inria.fr/InBio/Public/micromator/-/tree/master/MicroMator),Open source,GUI and API,[μManager devices](https://micro-manager.org/Device_Support),[Gitlab](https://gitlab.inria.fr/InBio/Public/micromator/-/tree/master/MicroMator),[link](https://doi.org/10.1038/s41467-022-29888-z)
[CyberSco.Py](https://github.com/Lab513/CyberSco.Py),Open source,GUI and API,[XCite LED and Andor camera](https://github.com/Lab513/CyberSco.Py?tab=readme-ov-file#installation-of-few-devices),https://github.com/Lab513/CyberSco.Py,[link](https://www.nature.com/articles/s41598-022-15207-5)
[Microscopy Pipeline Constructor (MyPiC)](https://github.com/manerotoni/mypic),Open source,API,Zeiss LSM780 / LSM880,https://github.com/manerotoni/mypic,[link](https://10.1038/nprot.2018.040)
[Adaptive Feedback Microscopy ImageJ/FiJi utilities](https://git.embl.org/grp-ellenberg/adaptive_feedback_mic_fiji),Open source,API,Enabling adaptive feedback microscopy with MyPiC backend,https://git.embl.org/grp-ellenberg/adaptive_feedback_mic_fiji,[link](https://10.1038/nprot.2018.040)
